t : Time (s)
A : Acceleration (m/s^2): X, Y, Z
G : Gyroscope    (rad/s): X, Y, Z
M : Magnetometer (uT): X, Y, Z

t	AX	AY	AZ	GX	GY	GZ	MX	MY	MZ
0.03945999999996275	-1.307	8.262	5.9	-0.02	-0.0	-0.036	13.8	-22.5	-30.9	
0.07909999999992579	-1.334	8.238	5.796	0.07	-0.0	-0.0	13.8	-23.1	-30.9	
0.1218300000000454	-1.275	8.162	5.822	-0.0	-0.151	0.042	13.8	-23.1	-30.6	
0.16177000000061525	-1.139	8.094	5.335	-0.0	0.019	-0.0	13.5	-23.4	-30.6	
0.21283000000039465	-1.25	8.227	5.787	-0.0	-0.0	0.026	13.5	-23.1	-30.6	
0.2506700000003548	-1.141	8.133	5.74	0.018	-0.0	0.022	13.8	-22.5	-31.2	
0.2898300000006202	-1.009	8.043	5.665	-0.0	-0.0	-0.022	14.4	-22.5	-31.2	
0.32990000000063446	-1.117	8.061	5.576	-0.0	-0.0	-0.021	13.8	-23.1	-30.6	
0.3698400000002948	-1.252	8.216	5.588	-0.0	0.031	-0.0	14.1	-23.4	-29.1	
0.4102200000006633	-1.304	8.207	5.769	-0.0	-0.023	-0.0	13.5	-23.7	-30.0	
0.450170000000071	-1.344	8.258	5.646	0.031	-0.0	0.03	13.2	-23.7	-30.3	
0.4902400000000853	-1.315	8.259	5.624	0.032	-0.0	0.035	13.5	-23.4	-30.9	
0.5300600000000486	-1.248	8.176	5.625	-0.0	0.029	0.042	13.5	-23.7	-31.8	
0.5700100000003658	-1.234	8.169	5.671	0.042	-0.0	0.039	13.5	-23.4	-30.9	
0.6101100000005317	-1.167	8.161	5.623	0.018	-0.0	0.058	14.4	-23.7	-30.6	
0.650180000000546	-1.086	8.075	5.481	-0.0	0.037	-0.0	14.4	-23.7	-30.3	
0.689700000000812	-1.145	8.213	5.468	-0.0	0.043	-0.0	14.1	-24.0	-30.6	
0.7392600000002858	-1.306	8.249	5.471	-0.0	0.129	0.04	14.4	-24.0	-30.3	
0.7791500000002998	-1.332	8.318	5.724	-0.0	0.052	0.086	13.5	-23.1	-30.6	
0.8221800000001167	-1.204	8.201	5.809	-0.053	-0.0	0.066	13.8	-22.5	-30.9	
0.8611500000006345	-1.087	8.067	5.756	-0.0	-0.0	-0.0	13.8	-22.2	-30.6	
0.8991700000005949	-1.199	8.28	5.743	0.071	-0.036	0.076	14.4	-22.2	-31.5	
0.9392700000007608	-1.005	8.125	5.472	-0.0	-0.054	0.097	14.7	-22.5	-31.2	
0.9692100000002029	-0.767	7.801	5.311	-0.039	0.104	-0.026	14.4	-23.1	-30.3	
1.0092500000000655	-1.015	8.135	5.603	0.057	0.121	-0.023	14.4	-23.4	-29.7	
1.0496499999999287	-1.203	8.247	5.801	-0.027	0.029	-0.018	14.4	-24.0	-29.4	
1.0895399999999427	-1.102	8.069	5.744	-0.028	-0.057	-0.073	14.7	-23.7	-29.4	
1.1294000000007145	-1.058	8.093	5.392	-0.0	0.142	-0.084	15.0	-23.7	-29.4	
1.1693700000005265	-1.213	8.259	5.685	0.087	0.045	-0.0	14.7	-23.7	-29.4	
1.2093800000002375	-1.222	8.223	5.783	-0.05	-0.084	-0.018	14.7	-22.8	-29.1	
1.2495400000007066	-1.332	8.259	5.58	0.045	-0.0	-0.0	14.7	-22.8	-29.4	
1.2890600000000632	-1.318	8.298	5.599	0.103	-0.0	0.036	14.1	-22.5	-29.7	
1.3295600000001286	-1.304	8.214	5.576	0.036	0.025	-0.021	13.8	-22.8	-29.7	
1.369419999999991	-1.334	8.292	5.53	0.064	0.038	-0.038	14.1	-23.1	-30.0	
1.4092399999999543	-1.348	8.376	5.345	0.072	0.08	0.037	14.1	-23.1	-29.7	
1.4493700000002718	-1.35	8.295	5.495	-0.0	-0.0	0.068	14.4	-24.0	-29.7	
1.4892600000002858	-1.275	8.277	5.44	-0.0	-0.0	0.076	15.0	-23.7	-29.7	
1.5288399999999456	-1.199	8.328	5.526	-0.076	-0.073	0.078	15.0	-24.0	-29.7	
1.5687600000001112	-1.193	8.343	5.572	-0.08	-0.107	0.104	15.0	-24.0	-30.0	
1.60874000000058	-1.143	8.308	5.496	0.156	-0.062	0.135	14.7	-23.7	-30.6	
1.6490200000007462	-1.153	8.253	5.313	0.066	0.337	0.175	14.1	-24.0	-30.3	
1.6890900000007605	-1.563	8.613	6.382	0.069	-0.148	0.324	14.4	-24.0	-30.3	
1.728939999999966	-1.447	8.742	5.857	0.154	-0.36	0.379	13.8	-24.3	-30.9	
1.7689500000005864	-0.839	8.124	4.531	0.203	0.248	0.157	13.5	-24.9	-30.0	
1.8090200000006007	-0.405	7.923	4.612	-0.16	0.662	0.061	13.5	-24.6	-29.7	
1.848880000000463	-0.501	8.243	5.711	-0.0	0.193	0.066	13.5	-24.9	-28.5	
1.9003300000003946	-0.457	8.235	5.751	0.181	-0.13	0.048	13.8	-25.2	-27.3	
1.9418300000006639	-0.675	8.111	5.293	-0.034	-0.196	-0.106	14.4	-24.9	-27.6	
1.9782700000005207	-1.033	8.415	4.783	-0.087	0.207	-0.104	14.4	-25.2	-27.3	
2.0224000000007436	-1.115	8.482	5.087	0.28	0.398	-0.123	14.1	-25.5	-28.2	
2.0488300000006348	-1.404	8.453	5.767	0.235	0.041	-0.175	14.7	-25.5	-27.9	
2.0883499999999913	-1.423	8.62	5.711	-0.21	-0.35	-0.124	15.0	-25.5	-27.6	
2.1390400000000227	-1.377	8.924	5.313	-0.081	-0.352	0.088	15.3	-25.8	-27.3	
2.178160000000389	-0.818	8.678	4.885	-0.0	-0.125	0.28	15.9	-26.1	-27.0	
2.2180200000002515	-0.495	8.241	5.21	-0.425	-0.226	0.294	15.0	-26.1	-27.0	
2.261410000000069	-0.661	8.258	5.925	-0.323	-0.738	0.177	14.4	-26.1	-26.7	
2.3027000000001863	-0.638	8.298	5.727	-0.468	-0.695	0.217	14.1	-25.5	-28.2	
2.342680000000655	-0.263	8.331	5.011	-0.297	-0.142	0.339	12.6	-24.6	-28.8	
2.377900000000409	-0.188	8.057	5.971	-0.374	-0.23	0.251	11.7	-24.0	-29.4	
2.4086300000008123	0.12	7.782	5.775	0.122	0.05	0.33	9.9	-23.4	-30.3	
2.4485500000000684	0.293	7.587	4.838	0.662	0.937	0.027	10.2	-23.1	-30.0	
2.4880400000001828	0.288	7.691	6.388	-0.03	0.412	-0.253	9.9	-23.4	-30.0	
2.528110000000197	0.124	7.781	6.136	-0.229	0.057	-0.264	10.5	-23.4	-30.0	
2.5680600000005143	-0.048	7.728	5.466	0.084	0.295	-0.293	10.8	-24.0	-29.4	
2.608280000000377	-0.17	7.872	5.524	0.254	0.442	-0.418	11.1	-23.7	-29.4	
2.6481900000007954	-0.685	8.052	6.131	-0.102	-0.036	-0.503	11.7	-24.0	-29.4	
2.6882600000008097	-1.3	8.448	6.002	-0.156	-0.267	-0.349	12.3	-23.4	-29.1	
2.7281800000000658	-1.045	8.142	6.305	-0.292	-0.596	-0.354	13.8	-23.4	-29.7	
2.7686200000007375	-1.088	7.962	6.006	-0.43	-0.628	-0.349	13.8	-22.8	-30.0	
